[2023-04-20 00:37:02,233] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 00:37:02,281] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 00:37:04,608] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 01:58:26,723] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 01:58:26,783] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 01:58:28,975] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 02:29:00,672] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 02:29:00,732] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 02:29:03,078] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 02:44:48,524] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 02:44:48,588] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 02:44:50,008] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 03:08:38,722] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 03:08:38,782] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 03:08:41,510] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 03:33:08,625] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 03:33:08,673] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 03:33:11,447] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 04:09:36,860] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 04:09:36,917] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 04:09:39,020] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 04:34:59,225] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 04:34:59,272] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 04:35:00,790] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 05:08:21,995] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 05:08:22,055] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 05:08:23,897] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 05:33:02,589] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 05:33:02,637] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 05:33:03,973] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 06:10:36,204] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 06:10:36,253] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 06:10:37,646] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
[2023-04-20 06:35:35,175] 	ERROR 	39 	scrape.py 	<module>() 	Failed getting THE Price Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 06:35:35,222] 	INFO 	52 	scrape.py 	<module>() 	Scrape Started
[2023-04-20 06:35:41,222] 	ERROR 	137 	scrape.py 	<module>() 	Error occurred while scraping Error: name 'THE_price' is not defined
